ligand_id,rank,confidence,pose_sdf
adagrasib,1,-1.86,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank1_confidence-1.86.sdf
adagrasib,2,-2.13,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank2_confidence-2.13.sdf
adagrasib,3,-2.28,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank3_confidence-2.28.sdf
adagrasib,4,-2.49,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank4_confidence-2.49.sdf
adagrasib,5,-2.63,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank5_confidence-2.63.sdf
adagrasib,6,-2.98,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank6_confidence-2.98.sdf
adagrasib,7,-3.29,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank7_confidence-3.29.sdf
adagrasib,8,-4.22,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank8_confidence-4.22.sdf
adagrasib,9,-4.97,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank9_confidence-4.97.sdf
adagrasib,10,-5.01,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/adagrasib/rank10_confidence-5.01.sdf
ars1620,1,-1.44,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank1_confidence-1.44.sdf
ars1620,2,-1.66,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank2_confidence-1.66.sdf
ars1620,3,-2.01,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank3_confidence-2.01.sdf
ars1620,4,-3.23,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank4_confidence-3.23.sdf
ars1620,5,-3.27,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank5_confidence-3.27.sdf
ars1620,6,-3.29,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank6_confidence-3.29.sdf
ars1620,7,-3.31,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank7_confidence-3.31.sdf
ars1620,8,-3.86,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank8_confidence-3.86.sdf
ars1620,9,-4.72,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank9_confidence-4.72.sdf
ars1620,10,-4.81,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars1620/rank10_confidence-4.81.sdf
ars853,1,-1.06,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank1_confidence-1.06.sdf
ars853,2,-2.43,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank2_confidence-2.43.sdf
ars853,3,-3.05,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank3_confidence-3.05.sdf
ars853,4,-3.66,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank4_confidence-3.66.sdf
ars853,5,-4.07,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank5_confidence-4.07.sdf
ars853,6,-4.71,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank6_confidence-4.71.sdf
ars853,7,-5.2,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank7_confidence-5.20.sdf
ars853,8,-5.57,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank8_confidence-5.57.sdf
ars853,9,-5.99,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank9_confidence-5.99.sdf
ars853,10,-6.32,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/ars853/rank10_confidence-6.32.sdf
sotorasib,1,-2.05,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank1_confidence-2.05.sdf
sotorasib,2,-3.48,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank2_confidence-3.48.sdf
sotorasib,3,-3.81,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank3_confidence-3.81.sdf
sotorasib,4,-4.02,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank4_confidence-4.02.sdf
sotorasib,5,-4.08,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank5_confidence-4.08.sdf
sotorasib,6,-4.17,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank6_confidence-4.17.sdf
sotorasib,7,-4.42,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank7_confidence-4.42.sdf
sotorasib,8,-4.47,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank8_confidence-4.47.sdf
sotorasib,9,-4.87,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank9_confidence-4.87.sdf
sotorasib,10,-4.98,/home/sagemaker-user/PhysDock/results/diffdock/raw_out/sotorasib/rank10_confidence-4.98.sdf
